Gerenal,WinRate,GameTimes
sp_zhangliao,not play yet,0
miheng,not play yet,0
liyan,not play yet,0
ol_luzhi,not play yet,0
s4_cloud_huangzhong,not play yet,0
luadiyguanyu,not play yet,0
joy_shenzhangliao,not play yet,0
tenyear_dengzhi,not play yet,0
jiangwanfeiyi,not play yet,0
caoren,not play yet,0
ol_qiaozhou,not play yet,0
caohong,not play yet,0
ol_guansuo,not play yet,0
meizlshendiaochan,not play yet,0
tenyear_pangde,not play yet,0
ol_zhuling,not play yet,0
f_shenxunyu,not play yet,0
ZhangFei_Plus,not play yet,0
mobile_manchong,not play yet,0
lvqian,not play yet,0
s4_txbw_dengai,not play yet,0
mobileyan_jiangqin,not play yet,0
mobile_dianwei,not play yet,0
lvkai,not play yet,0
ol_sunquan,not play yet,0
ov_tongyuan,not play yet,0
lukai,not play yet,0
ov_beimihu,not play yet,0
xinglvbu_o,not play yet,0
second_tenyear_yujin,not play yet,0
tenyear_dingyuan,not play yet,0
WoLongZhuGeLiang_Four,not play yet,0
ol_xinxianying,not play yet,0
jiangqin,not play yet,0
xushu,not play yet,0
ov_zangba,not play yet,0
maliang,not play yet,0
ol_baosanniang,not play yet,0
new_lifeng,not play yet,0
yh_jiananfeng,not play yet,0
newmspgodzhenji,not play yet,0
lusu,not play yet,0
tenyear_panshu,not play yet,0
zhaotongzhaoguang,not play yet,0
MaLiang_Seven,not play yet,0
hejin,not play yet,0
ol_new_spmachao,not play yet,0
liufeng,not play yet,0
zhuhuan,not play yet,0
huanghao,not play yet,0
sp_pangtong,not play yet,0
guanxingzhangbao,not play yet,0
jsp_machao,not play yet,0
zhangsong,not play yet,0
duSunjian,not play yet,0
ov_yuejiu,not play yet,0
ov_furong,not play yet,0
panshu,not play yet,0
ty_shenjiangweiBN,not play yet,0
shenlvbu,not play yet,0
heg_sunce,not play yet,0
mayuanyi,not play yet,0
caizhaoji,not play yet,0
WangPing_Six,not play yet,0
caimaozhangyun,not play yet,0
zhangjiao,not play yet,0
shensimayi,not play yet,0
gongsunyuan,not play yet,0
joy_shendianwei,not play yet,0
shenjiangwei,not play yet,0
mizhu,not play yet,0
ov_baoxin,not play yet,0
ty_shenjiangwei,not play yet,0
jin_simashi,not play yet,0
ol_zhangjiao,not play yet,0
olmasu,not play yet,0
lukang,not play yet,0
new_mayunlu,not play yet,0
mobile_sunjian,not play yet,0
mobile_zhuran,not play yet,0
mobilemou_huaxiong,not play yet,0
tenyear_zhangchunhua,not play yet,0
duDongzhuo,not play yet,0
langliubei,not play yet,0
sp_yuejin,not play yet,0
ZhangFei_Six,not play yet,0
yh_shenerqiao,not play yet,0
tenyear_guojia,not play yet,0
ahuinan,not play yet,0
twyj_xiahouba,not play yet,0
second_mobilezhi_sunshao,not play yet,0
bgm_zhangfei,not play yet,0
wenyang,not play yet,0
dianwei,not play yet,0
sp_lingju,not play yet,0
zhangmiao,not play yet,0
tenyear_baosanniang,not play yet,0
mobileyong_gaolan,not play yet,0
ol_dengai,not play yet,0
jiangwei,not play yet,0
tenyear_sunru,not play yet,0
xugong,not play yet,0
mayunlu,not play yet,0
ov_zhanglu,not play yet,0
ol_xunyu,not play yet,0
SiMaYi_Plus,not play yet,0
jinxuandi,not play yet,0
chenjiao,not play yet,0
ov_zhanhe,not play yet,0
zhaoang,not play yet,0
yh_shenzhouyu,not play yet,0
xiahoushi,not play yet,0
yh_shencaopi,not play yet,0
second_ol_sunjian,not play yet,0
zhangbao,not play yet,0
yh_shencaiwenji,not play yet,0
meizldiaochan,not play yet,0
tenyear_tengfanglan,not play yet,0
huangjinleishi,not play yet,0
meizlsunluban,not play yet,0
ezhugeke,not play yet,0
luachenggeng,not play yet,0
tenyear_xuchu,not play yet,0
ov_wangling,not play yet,0
langguanyu,not play yet,0
guanlu,not play yet,0
liuba,not play yet,0
ol_furong,not play yet,0
meizlluyusheng,not play yet,0
new_guanyinping,not play yet,0
ov_caozhao,not play yet,0
dufuren,not play yet,0
taishici,not play yet,0
guohuanghou,not play yet,0
jsp_sunshangxiang,not play yet,0
bgm_diaochan,not play yet,0
meizlsunluyu,not play yet,0
ol_zhanghe,not play yet,0
mobile_handang,not play yet,0
new_shencaocao,not play yet,0
new_sphetaihou,not play yet,0
ov_zhaoe,not play yet,0
ov_chengpu,not play yet,0
